Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,source
Reactome_2022,Keratinization R-HSA-6805567,20/208,1.1179189950653256e-27,6.483930171378888e-26,0,0,75.09118541033435,4660.033458703767,KRT1;KRT13;KRT5;EVPL;CASP14;KRT19;KRT17;KRT16;KRT14;DSG1;PKP1;DSG3;PRSS8;SPRR2A;SPRR1A;KRT6C;SPRR1B;KRT6B;DSC3;KRT6A,Reactome
GO_Biological_Process_2023,Cornified Envelope (GO:0001533),10/41,2.466445766701424e-18,1.2825517986847403e-16,0,0,169.10865874363327,6856.299778267468,SCEL;KRT1;DSG1;PKP1;DSG3;SPRR2A;EVPL;SPRR1A;DSC2;SPRR1B,GO
GO_Biological_Process_2023,Intermediate Filament (GO:0005882),10/69,7.128102021928414e-16,1.853306525701388e-14,0,0,88.72881355932203,3094.622911846853,KRT17;KRT16;KRT1;KRT14;KRT13;PKP1;KRT5;EVPL;KRT6B;KRT6A,GO
Reactome_2022,Formation Of Cornified Envelope R-HSA-6809371,10/74,1.4930404220646729e-15,4.3298172239875515e-14,0,0,81.77631578947368,2791.676744756317,CASP14;DSG1;PKP1;DSG3;PRSS8;SPRR2A;SPRR1A;EVPL;SPRR1B;DSC3,Reactome
GO_Biological_Process_2023,Keratin Filament (GO:0045095),8/39,3.4633918113222493e-14,6.003212472958564e-13,0,0,128.5225806451613,3983.4215259706016,KRT17;KRT16;KRT1;KRT14;KRT13;KRT5;KRT6B;KRT6A,GO
Reactome_2022,Developmental Biology R-HSA-1266738,20/1073,1.3063760233763598e-13,2.525660311860961e-12,0,0,12.819834486501152,380.317687839849,KRT1;KRT13;KRT5;EVPL;CASP14;KRT19;KRT17;KRT16;KRT14;DSG1;PKP1;DSG3;PRSS8;SPRR2A;SPRR1A;KRT6C;SPRR1B;KRT6B;DSC3;KRT6A,Reactome
GO_Biological_Process_2023,Intermediate Filament Cytoskeleton (GO:0045111),8/81,1.6803375741737385e-11,2.18443884642586e-10,0,0,54.463013698630135,1351.1969420687387,KRT17;KRT16;KRT14;KRT13;PKP1;KRT5;EVPL;KRT6A,GO
GO_Biological_Process_2023,Cell-Cell Junction (GO:0005911),10/299,1.900210940132286e-09,1.9762193777375777e-08,0,0,17.904753232562374,359.5507378445762,COL17A1;CDH3;POF1B;GJB3;CDH1;DSG1;FAT2;PKP1;DSG3;DSC2,GO
GO_Biological_Process_2023,Desmosome (GO:0030057),4/17,6.79038702384928e-08,5.885002087336042e-07,0,0,139.43356643356643,2301.375108791191,DSG1;PKP1;DSG3;DSC2,GO
KEGG_2021_Human,Staphylococcus aureus infection,6/95,1.0226345682286721e-07,2.1475325932802118e-06,0,0,31.88282504012841,513.176815618767,KRT19;KRT17;KRT16;KRT14;KRT13;DSG1,KEGG
GO_Biological_Process_2023,Polymeric Cytoskeletal Fiber (GO:0099513),7/265,3.066612151078831e-06,2.2780547408014173e-05,0,0,13.032520325203253,165.447026298461,POF1B;KRT16;KRT14;PKP1;KRT5;EVPL;KRT6A,GO
Reactome_2022,Apoptotic Cleavage Of Cell Adhesion Proteins R-HSA-351906,3/11,2.111801873612464e-06,3.062112716738073e-05,0,0,166.2,2171.896448857574,DSG1;PKP1;DSG3,Reactome
GO_Biological_Process_2023,Adherens Junction (GO:0005912),5/150,2.930605992918938e-05,0.00019048938953973097,0,0,15.883720930232558,165.78977190201047,CDH3;POF1B;CDH1;FAT2;PKP1,GO
KEGG_2021_Human,Estrogen signaling pathway,5/137,1.894124209270524e-05,0.000198883041973405,0,0,17.459478505990134,189.8573180396888,KRT19;KRT17;KRT16;KRT14;KRT13,KEGG
Reactome_2022,Apoptotic Cleavage Of Cellular Proteins R-HSA-111465,3/38,0.00010316842375070834,0.0011967537155082,0,0,37.93714285714286,348.23063847971173,DSG1;PKP1;DSG3,Reactome
Reactome_2022,Apoptotic Execution Phase R-HSA-75153,3/52,0.0002639775248230721,0.0025517827399563,0,0,27.07891156462585,223.1206613800885,DSG1;PKP1;DSG3,Reactome
GO_Biological_Process_2023,Cytoskeleton (GO:0005856),7/599,0.0005289408937552168,0.0030561029416968,0,0,5.583388266315096,42.12462019202387,LAD1;KRT17;KRT16;CDH1;KRT1;KRT13;EVPL,GO
GO_Biological_Process_2023,Catenin Complex (GO:0016342),2/28,0.0020487507071338,0.010653503677096,0,0,33.32107023411371,206.2749210684383,CDH3;CDH1,GO
GO_Biological_Process_2023,Ficolin-1-Rich Granule Membrane (GO:0101003),2/60,0.0091365975216285,0.042384829314793,0,0,14.91304347826087,70.02370688055636,DSG1;PKP1,GO
GO_Biological_Process_2023,Ficolin-1-Rich Granule (GO:0101002),3/184,0.0097811144572599,0.042384829314793,0,0,7.282136279926335,33.69664267089767,KRT1;DSG1;PKP1,GO
GO_Biological_Process_2023,Flotillin Complex (GO:0016600),1/6,0.0143155285543427,0.0572621142173708,0,0,84.88085106382978,360.4389302463305,CDH1,GO
Reactome_2022,Apoptosis R-HSA-109581,3/178,0.0089391089797292,0.0740669029748994,0,0,7.534095238095238,35.5407333377557,DSG1;PKP1;DSG3,Reactome
Reactome_2022,MET Interacts With TNS Proteins R-HSA-8875513,1/5,0.0119436128411833,0.0865911930985794,0,0,106.1063829787234,469.7922320558719,TNS4,Reactome
Reactome_2022,Programmed Cell Death R-HSA-5357801,3/208,0.0136022315738186,0.0876588256979422,0,0,6.421788617886179,27.59777409763404,DSG1;PKP1;DSG3,Reactome
KEGG_2021_Human,p53 signaling pathway,2/73,0.0133002598305378,0.0931018188137652,0,0,12.174525413349665,52.59360534174025,SFN;SERPINB5,KEGG
GO_Biological_Process_2023,Apical Junction Complex (GO:0043296),2/106,0.0267923008939638,0.0995142604632941,0,0,8.297658862876254,30.034543841109883,POF1B;CDH1,GO
GO_Biological_Process_2023,Lamellar Body (GO:0042599),1/13,0.0307635584593973,0.1066470026592441,0,0,35.354609929078016,123.08440365356886,KLK7,GO
Reactome_2022,RUNX1 Regulates Transcription Of Genes Involved In Differentiation Of Keratinocytes R-HSA-8939242,1/8,0.0190426489375205,0.1104473638376189,0,0,60.62310030395137,240.13259456270143,SERPINB13,Reactome
